Stock-table register name mapping
=================================

Each entry of zx_stock_init_table[] (zx_stock_table.h) is
written by the driver during probe. This file maps each entry
index → its underlying HW register, where derivable from the
descriptor tables in zx-fpga-reg-tables.h.

Mapping rule:
  fpga_byte = off + 0x1c0000  (whether off is negative pon_early
                                or non-negative base — same math)
  fpga_word = fpga_byte >> 2

Match against descriptor entries: base_off + stride*sub_idx == fpga_word.
Multiple regs can share the same word (packed bit-fields); shown as alts.

  /*16822*/ off=   0x18c00c val=0x000003ff  → zx_qmgregtable[reg_id=5, sub=0] RW mask=0x7ff shift=0
  /*16825*/ off=   0x18c044 val=0x000004f4  → zx_qmgregtable[reg_id=6, sub=0] R mask=0xffffffff shift=0
  /*16826*/ off=   0x18c060 val=0x0000052e  → zx_qmgregtable[reg_id=11, sub=0] R mask=0xffffffff shift=0
  /*17102*/ off=   0x190334 val=0x00000021  → UNKNOWN (fpga word 0xd40cd)
  /*17602*/ off=   0x191404 val=0x0000007f  → UNKNOWN (fpga word 0xd4501)
  /*18102*/ off=   0x192550 val=0x0000c8c8  → UNKNOWN (fpga word 0xd4954)
  /*18602*/ off=   0x193648 val=0x4ec33b90  → UNKNOWN (fpga word 0xd4d92)
  /*18921*/ off=   0x194000 val=0x000003d7  → zx_schregtable[reg_id=0, sub=0] RW mask=0x1 shift=0 + 9 bitfield alts
  /*18922*/ off=   0x194004 val=0x0d1cef00  → zx_schregtable[reg_id=10, sub=0] RW mask=0xffffffff shift=0
  /*18923*/ off=   0x194014 val=0x03c00006  → zx_schregtable[reg_id=13, sub=0] RW mask=0x8fcfffff shift=0
  /*18924*/ off=   0x194018 val=0x00000001  → zx_schregtable[reg_id=14, sub=0] R mask=0x1 shift=0
  /*18925*/ off=   0x19401c val=0x0003e800  → zx_schregtable[reg_id=15, sub=0] RW mask=0xffffffff shift=0
  /*18926*/ off=   0x194024 val=0x00000014  → zx_schregtable[reg_id=15, sub=2] RW mask=0xffffffff shift=0 + 1 bitfield alts
  /*18927*/ off=   0x194028 val=0x00001869  → zx_schregtable[reg_id=17, sub=0] RW mask=0x3ffff shift=0
  /*18943*/ off=   0x194340 val=0x000000ff  → zx_schregtable[reg_id=18, sub=0] RW mask=0xffffffff shift=0
  /*18944*/ off=   0x194344 val=0x000000ff  → zx_schregtable[reg_id=18, sub=1] RW mask=0xffffffff shift=0
